="                                                  ",="1043.00"
="amount of research funding                        ",="55.74"
="                                                  ",="(31.00)"
="                                                  ",="1043.00"
="value added per capita                            ",="3.07"
="                                                  ",="(0.82)"
="                                                  ",="1043.00"
="unemployment rate                                 ",="9.03"
="                                                  ",="(4.50)"
="                                                  ",="1043.00"
="dpt                                               ",="1.00"
="                                                  ",="(0.00)"
="                                                  ",="149.00"
="Observations                                      ",="1043"
="                                                  ",="(1)"
="                                                  ",=""
="                                                  ",="mean/sd/count"
="New positions                                     ",="9.16"
="                                                  ",="(6.51)"
="                                                  ",="265.00"
="New positions (excl. promotions)                  ",="3.48"
="                                                  ",="(3.10)"
="                                                  ",="265.00"
="Internal promotions                               ",="4.89"
="                                                  ",="(4.15)"
="                                                  ",="265.00"
="Temporary                                         ",="1.83"
="                                                  ",="(2.32)"
="                                                  ",="265.00"
="Tenure track                                      ",="1.72"
="                                                  ",="(1.84)"
="                                                  ",="265.00"
="Tenured                                           ",="0.98"
="                                                  ",="(1.39)"
="                                                  ",="265.00"
="# researchers -1                                  ",="72.08"
="                                                  ",="(30.15)"
="                                                  ",="265.00"
="# of transfers                                    ",="0.31"
="                                                  ",="(1.49)"
="                                                  ",="265.00"
="amount of research funding                        ",="32.29"
="                                                  ",="(27.28)"
="                                                  ",="265.00"
="value added per capita                            ",="2.65"
="                                                  ",="(0.90)"
="                                                  ",="265.00"
="unemployment rate                                 ",="12.14"
="                                                  ",="(6.03)"
="                                                  ",="265.00"
="dpt                                               ",="1.00"
="                                                  ",="(0.00)"
="                                                  ",="38.00"
="Observations                                      ",="265"
="                                                  ",="(1)"
="                                                  ",=""
="                                                  ",="mean/sd/count"
="New positions                                     ",="8.46"
="                                                  ",="(5.16)"
="                                                  ",="770.00"
="New positions (excl. promotions)                  ",="3.04"
="                                                  ",="(2.65)"
="                                                  ",="770.00"
="Internal promotions                               ",="4.66"
="                                                  ",="(3.52)"
="                                                  ",="770.00"
="Temporary                                         ",="1.47"
="                                                  ",="(1.72)"
="                                                  ",="770.00"
="Tenure track                                      ",="1.64"
="                                                  ",="(1.66)"
="                                                  ",="770.00"
="Tenured                                           ",="0.86"
="                                                  ",="(1.08)"
="                                                  ",="770.00"
="# researchers -1                                  ",="68.07"
="                                                  ",="(24.26)"
="                                                  ",="770.00"
="# of transfers                                    ",="0.32"
="                                                  ",="(1.18)"
="                                                  ",="770.00"
="amount of research funding                        ",="53.16"
="                                                  ",="(31.63)"
="                                                  ",="770.00"
="value added per capita                            ",="3.10"
="                                                  ",="(0.82)"
="                                                  ",="770.00"
="unemployment rate                                 ",="8.76"
="                                                  ",="(4.07)"
="                                                  ",="770.00"
="dpt                                               ",="1.00"
="                                                  ",="(0.00)"
="                                                  ",="110.00"
="Observations                                      ",="770"
="                                                  ",="(1)"
="                                                  ",=""
="                                                  ",="mean/sd/count"
="New positions                                     ",="7.39"
="                                                  ",="(5.17)"
="                                                  ",="721.00"
="New positions (excl. promotions)                  ",="2.66"
